Dutch,English
als,as
Ik,I
band,"tire,band"
dat,that
hij,he
was,was
op,on
berg,mountain
met,with
betalen,to pay
hebben,have
bij,at/by/with/near
blijven,"stay, continue"
boven,"above, top"
woord,word
maar,but
wat,what
sommige,some
is,is
het,it
u,you
had,had
de,the
dan,"then, than"
aan,to
en,and
in,in
we,we
deze,"this, these"
uit,out
andere,other
waren,were
doen,do
hun,their
tijd,time
indien,if
die,"which, who, those"
hoe,how
zei,said
elk,each
vertellen,tell
doet,does
set,set
drie,three
willen,want
lucht,air
dood,dead
spelen,play
klein,small
end,end
zetten,put
thuis,home
lezen,read
de hand,hand
poort,port
spell,spell
toevoegen,add
zelfs,even
door,"by, through"
hier,here
moet,must
dragen,"carry, wear"
dergelijke,such
volgen,follow
act,act
vragen,ask
mannen,men
verandering,change
ging,went
licht,light
uitgeschakeld,off
nodig hebben,need (2 words)
huis,house
afbeelding,picture
proberen,try
ons,us
dus,"so, thus"
dier,animal
punt,point
moeder,mother
wereld,world
dichtbij,near
bouwen,build
zelf,self
aarde,earth
vader,father
nieuwe,new
een,one/a/an
deel,part
nemen,take
krijgen,get
gemaakt,made
wonen,live
waar,where
terug,back
alleen,only
ronde,round
man,man
jaar,year
kwam,came
Show,show
elke,every
mij,me
er,there
onze,our
naam,name
zeer,very
gehouden,"kept, held"
gewoon,just
zin,sentence
gelijk,equate/equal
denken,think
zeggen,say
helpen,help
laag,low
lijn,line
verschillen,differ
beurt,turn
oorzaak,cause
betekenen,mean
geven,give
verhuizing,move
rechts,right
jongen,boy
oude,old
hetzelfde,same
geweest,been
alle,all
goed,good/well
omhoog,up
gebruiken,use
uw,your
manier,way
grote,"large, big, great"
hen,them
schrijven,write
zoals,like
haar,"her, hair"
lang,long
maken,make
ding,thing
zien,see
hem,him
twee,two
heeft,has
heet,hot
dag,day
kon,could
gaan,go
komen,come
deed,did
aantal,number
klinken,sound
geen,no
meest,most
mensen,people
mijn,my
meer dan,over
weten,know
water,water
hoog,"high, tall"
roep,call
eerste,first
houden,"keep, hold, like, love"
beneden,"down, downstairs, bottom"
kant,side
nu,now
kaart,"map, card"
hoofd,head
staan,stand
eigen,own
pagina,page
moeten,should
gevonden,found
antwoord,answer
de school,school
groeien,grow
studie,study
kan,"can, may"
planten,plant
afdekking,cover
voedsel,food
zon,sun
vier,four
tussen,between
staat,state
kijken,"look, watch"
oog,eye
nooit,never
laatste,last
laten,let
gedachte,thought
boom,tree
oversteken,cross
boerderij,farm
hard,hard
begin,start
kracht,"force, power"
verhaal,story
zaag,saw
ver,far
zee,sea
tekenen,draw
links,left
laat,late
niet,don’t
land,"land, country"
pers,press
dicht,close
nacht,night
echt,real
leven,life
noorden,north
boek,book
leren,"learn, teach"
nam,took
wetenschap,science
eet,eat
kamer,room
vriend,friend
begon,began
idee,idea
vis,fish
stop,stop
eenmaal,once
base,base
hear,hear
paard,horse
gesneden,cut
lopen,walk
kleur,color
gezicht,face
hout,wood
belangrijkste,main
geopend,open
lijken,seem
meer,more
volgende,next
wit,white
kinderen,children
beginnen,begin
kreeg,got
voorbeeld,example
gemak,ease
papier,paper
groep,group
altijd,always
muziek,music
na,after
beide,both
mark,mark
vaak,often
brief,letter
tot,until
mijl,mile
rivier,river
auto,car
voeten,feet
zorg,care
tweede,second
genoeg,enough
vlakte,plain
meisje,girl
gebruikelijke,usual
jonge,young
klaar,ready
ooit,ever
rood,red
lijst,list
hoewel,though
voelen,feel
Overleg,talk
vogel,bird
spoedig,soon
lichaam,body
hond,dog
familie,family
rechtstreeks,direct
pose,pose
nog,"still, yet"
lied,song
meten,measure
deur,door
artikel,product
zwart,black
korte,short
cijfer,numeral
klasse,class
wind,wind
gebeuren,happen
compleet,complete
schip,ship
gebied,area
helft,half
rots,rock
orde,order
brand,fire
zuiden,south
probleem,problem
stuk,piece
vertelde,told
wist,knew
passeren,pass
sinds,since
geheel,whole
king,king
straat,street
inch,inch
vermenigvuldigen,multiply
niets,nothing
cursus,course
of,"or, whether"
wiel,wheel
volledige,full
blauw,blue
object,object
beslissen,decide
oppervlak,surface
diepe,deep
maan,moon
eiland,island
voet,foot
systeem,system
drukke,busy
toets,test
opnemen,record
boot,boat
gemeenschappelijke,common
goud,gold
mogelijk,possible
vliegtuig,plane
onder,"under, among"
droge,dry
afvragen,wonder
lachen,laugh
duizend,thousand
geleden,ago
ran,ran
controleren,check
spel,game
ook,"also, too"
miss,miss
bracht,brought
warmte,heat
sneeuw,snow
brengen,bring
ja,yes
verre,distant
vullen,fill
oosten,east
schilderen,paint
taal,language
over,over/about
eenheid,unit
plaats,"place, stead"
fijne,fine
bepaalde,certain
vliegen,fly
vallen,fall
leiden,lead
huilen,cry
donker,dark
apparaat,machine
noot,note
wachten,wait
plannen,plan
figuur,figure
ster,star
doos,box
zelfstandig naamwoord,noun (2 words)
veld,field
rest,rest
juist,correct
in staat,able
pond,pound
gedaan,done
schoonheid,beauty
rijden,drive
stond,stood
bevatten,contain
voorzijde,front
week,week
finale,final
gaf,gave
groen,green
oh,oh
samen,together
ontwikkelen,develop
oceaan,ocean
warme,warm
gratis,free
minuut,minute
sterke,strong
speciaal,special
geest,mind
achter,behind
duidelijk,clear
staart,tail
produceren,produce
feit,fact
ruimte,space
gehoord,heard
best,best
uur,hour
beter,better
ware,true
snel,"quick, fast"
honderd,hundred
vijf,five
onthouden,remember
stap,step
vroeg,early
west,west
grond,ground
rente,interest
bereiken,reach
soort,"kind, type"
werkwoord,verb
zingen,sing
luisteren,listen
zes,six
tafel,table
reizen,travel
minder,less
ochtend,morning
tien,ten
eenvoudig,simple
verscheidene,several
klinker,vowel
richting,"towards, direction, course"
oorlog,war
leggen,lay
patroon,pattern
langzaam,slow
centrum,center
liefde,love
persoon,person
geld,money
dienen,serve
verschijnen,appear
spoor,"rail, track"
regen,rain
regel,rule
regeren,govern
trek,pull
koude,cold
kennisgeving,notice
stem,voice
energie,energy
hunt,hunt
waarschijnlijk,probable
bedden,bed
broer,brother
ei,egg
rit,ride
cel,cell
geloven,believe
misschien,perhaps
pick,pick
plotseling,sudden
tellen,count
square,square
reden,reason
lengte,length
vertegenwoordigen,represent
kunst,art
onderwerp,subject
regio,region
grootte,size
varieren,vary
vestigen,settle
spreken,speak
gewicht,weight
algemeen,general
ijs,ice
aangelegenheid,matter
cirkel,circle
paar,pair
omvatten,include
kloof,divide
lettergreep,syllable
vilt,felt
grand,grand
bal,ball
stad,"city, town"
wave,wave
laten vallen,drop (2 words)
hart,heart
ben,am
aanwezig,present
zwaar,heavy
dans,dance
motor,engine
positie,position
arm,arm
breed,wide
zeil,sail
materiaal,material
fractie,fraction
bos,forest
zitten,sit
ras,race
venster,window
zomer,summer
trein,train
slaap,sleep
bewijzen,prove
eenzame,lone
been,leg
oefening,exercise
muur,wall
vangst,catch
tegen,against
wensen,wish
hemel,sky
boord,board
vreugde,joy
de winter,winter
zat,sat
geschreven,written
wild,wild
instrument,instrument
glas,glass
gras,grass
koe,cow
edge,edge
teken,sign
bezoek,visit
verleden,past
terwijl,"while, whereas"
lol,fun
heldere,bright
gas,gas
tijdens,during
maand,month
miljoen,million
afwerking,finish
happy,happy
hopen,hope
bloem,flower
kleden,clothe
vreemd,strange
van,"from, of"
handel,trade
melodie,melody
reis,trip
kantoor,office
ontvangen,receive
rij,row
mond,mouth
exacte,exact
symbool,symbol
sterven,die
minste,least
problemen,trouble
schreeuw,shout
behalve,except
schreef,wrote
zaad,seed
toon,tone
toetreden,"join, become a member"
suggereren,suggest
schoon,clean
break,break
dame,lady
yard,yard
stijgen,rise
slecht,bad
klap,blow
olie,oil
bloed,blood
aanraken,touch
groeide,grew
procent,cent
mengen,mix
team,team
draad,wire
kosten,cost
verloren,lost
bruin,brown
tuin,garden
verzonden,sent
kiezen,choose
viel,fell
passen,fit
stromen,flow
eerlijk,fair
bank,bank
besparen,save
controle,control
decimaal,decimal
oor,ear
anders,else
heel,quite
brak,broke
geval,case
midden,middle
doden,kill
zoon,son
momenteel,moment
schaal,scale
luid,loud
voorjaar,spring
waarnemen,observe
kind,child
straight,straight
medeklinker,consonant
natie,nation
woordenboek,dictionary
melk,milk
snelheid,speed
methode,method
orgel,organ
veel,much/many/lot
leeftijd,age
sectie,section
kleding,dress
wolk,cloud
verrassing,surprise
rustig,quiet
steen,stone
minuscuul,tiny
klimmen,climb
koele,cool
ontwerp,design
slechte,poor
experiment,experiment
onderzijde,bottom
sleutel,key
ijzer,iron
enkelvoudige,single
stok,stick
flat,flat
twintig,twenty
huid,skin
glimlach,smile
vouw,crease
gat,hole
springen,jump
kindje,baby
acht,eight
dorp,village
ontmoeten,meet
wortel,root
kopen,buy
verhogen,raise
oplossen,"solve, resolve"
metalen,metal
verkopen,to sell
duw,push
zeven,seven
paragraaf,paragraph
derde,third
vertrekken,to leave
verzamelen,"collect, gather"
beschrijven,describe
kok,cook
vloer,floor
ofwel,either
resultaat,result
verbranden,burn
hill,hill
veilig,safe
kat,cat
eeuw,century
overwegen,consider
wet,law
beetje,bit
kust,coast
kopie,copy
zinsnede,phrase
stil,silent
zand,sand
bodem,soil
rol,roll
temperatuur,temperature
vinger,finger
industrie,industry
waarde,value
strijd,fight
leugen,lie
verslaan,beat
excite,excite
natuurlijke,natural
view,view
sense,sense
hoofdstad,capital
zal niet,won’t (2 words)
stoel,chair
gevaar,danger
fruit,fruit
rijk,rich
dikke,thick
soldaat,soldier
proces,process
werken,operate
praktijk,practice
apart,separate
moeilijk,difficult
arts,doctor
aub,please
beschermen,protect
middag,noon
gewas,crop
moderne,modern
onderdeel,element
hit,hit
leerling,student
hoek,corner
partij,party
levering,supply
wiens,whose
lokaliseren,locate
kookplaten,ring
karakter,character
insecten,insect
gevangen,caught
periode,period
vinden,to find
radio In,radio
sprak,spoke
atoom,atom
menselijk,human
geschiedenis,history
werking,effect
elektrische,electric
verwachten,expect
bot,bone
voor,"for, before"
stel,imagine
bieden,provide
instemmen,agree
vorm,"form, shape"
kapitein,captain
denk,guess
noodzakelijk,necessary
scherpe,sharp
vleugel,wing
creeren,create
buurman,neighbor
wassen,wash
vleermuis,bat
eerder,rather
menigte,crowd
mais,corn
vergelijken,compare
gedicht,poem
koord,string
bell,bell
afhangen,depend
vlees,meat
wrijven,rub
buis,tube
beroemde,famous
deas,dollar
stroom,stream
angst,fear
zicht,sight
dun,thin
driehoek,triangle
planeet,planet
haast,hurry
chief,chief
kolonie,colony
klok,clock
stropdas,tie
voeren,enter
vraag,question
vers,fresh
zoeken,search
sturen,send
geel,yellow
pistool,gun
toelaten,allow
afdrukken,print
plek,spot
woestijn,desert
pak,suit
huidige,current
lift,lift
gestegen,rose
aankomen,arrive
meester,master
vrouw,"woman, wife"
ouder,parent
oever,shore
divisie,division
blad,sheet
stof,substance
gunst,favor
aansluiten,connect
post,post
besteden,spend
akkoord,chord
vet,fat
blij,glad
origineel,original
aandeel,share
station,station
dad,dad
brood,bread
rekenen,charge
behoorlijk,proper
bar,bar
aanbod,offer
segmenten,segment
slaaf,slave
eend,duck
onmiddellijke,instant
markt,market
graad,degree
bevolken,populate
kuiken,chick
lieve,dear
vijand,enemy
antwoorden,reply
drankje,drink
voorkomen,occur
ondersteuning,support
spraak,speech
natuur,nature
reeks,range
stoom,steam
beweging,motion
pad,path
vloeistof,liquid
aanmelden,"report, register, log"
betekende,meant
quotient,quotient
tanden,teeth
schelp,shell
nek,neck
zuurstof,oxygen
suiker,sugar
vrij,pretty
vaardigheid,skill
vrouwen,women
seizoen,season
oplossing,solution
magneet,magnet
zilver,silver
dank,thank
tak,branch
wedstrijd,match
achtervoegsel,suffix
vooral,especially
vijg,fig
bang,afraid
reusachtig,huge
zus,sister
staal,steel
bespreken,discuss
vooruit,forward
gelijkaardige,similar
begeleiden,guide
ervaring,experience
partituur,score
appel,apple
gekocht,bought
geleid,led
toonhoogte,pitch
coat,coat
massa,mass
waarom,why
touw,rope
slip,slip
win,win
dromen,dream
avond,evening
voorwaarde,condition
voer,feed
gereedschap,tool
totaal,total
elementaire,basic
geur,smell
dal,valley
noch,nor
dubbel,double
zitje,seat
wanneer,when
blokkeren,block
grafiek,chart
hoed,hat
succes,success
bedrijf,company
aftrekken,subtract
evenement,event
bijzonder,particular
deal,deal
zwemmen,swim
termijn,term
tegengesteld,opposite
weer,"again, weather"
schoen,shoe
schouder,shoulder
spreiding,spread
regelen,arrange
kamp,camp
uitvinden,invent
katoen,cotton
geboren,born
bepalen,determine
quart,quart
negen,nine
vrachtwagen,truck
geluidsoverlast,noise
niveau,level
kans,chance
rekken,stretch
gooien,throw
glans,shine
pand,property
column,column
molecuul,molecule
selecteren,select
mis,wrong
grijs,gray
herhaal,repeat
vereisen,require
brede,broad
bereiden,prepare
zout,salt
neus,nose
meervoud,plural
woede,anger
vordering,claim
werelddeel,continent
weg,"road, gone"
keer,times
graag,gladly
ik wil graag,I would like (3 words)
weinig,"few, little"
eigenlijk,actually
werk,"work, job"
de winkel,"shop, store (2 words)"
helemaal,"all, completely, totally"
winkel,"store, shop"
hartstikke,terribly
zachte,"soft, gentle"
gebruik,(I) use
zonder,without
leuk vinden,to like (2 words)
zal,"will, shall"
nog iets,something else (2 words)
nog maar,only (2 words)
liefje,"sweet, dear, honey"
liefst,preferably
ze,"they, she"
's ochtends,in the morning (2 words)
krijg,"(I) get, receive"
verhalen,"to define, to report, to explain, to narrate"
vuil,dirty
vakantie,"holiday, vacation"
vies,nastily
zo,"so, well"
volgend,"following, next"
erg,much/very
ergens,somewhere
zodra,"as soon as, as ever, once"
toen,then
gisteren,yesterday
nodig,"necessary, needful"
belangrijk,important
zeker,sure
enkele,"a few, a couple of"
zijn,"his, are, be"
even,"even, for a bit"
word,"(I) am, become"
toch,yet/still/nevertheless
allebei,both
zou,"would, might"
de docent,teacher (2 words)
druk,"busy, bustling, crowded, preoccupied"
bijna,almost
elkaar,each other